"Zeitstempel","chosenGame","firstGenerator","secondGenerator","preference","firstPlayedLevel","secondPlayedLevel","ID"
"2018/08/13 9:20:28 PM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","1","2","225574"
"2018/08/13 9:21:47 PM OEZ","aliens","geneticLevelGenerator","randomLevelGenerator","First","3","3","225574"
"2018/08/13 9:22:48 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Neither","2","2","225574"
"2018/08/13 9:23:12 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","1","0","225574"
"2018/08/13 9:23:23 PM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Neither","0","4","225574"
"2018/08/13 9:23:36 PM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Neither","2","2","225574"
"2018/08/13 9:25:20 PM OEZ","frogs","geneticLevelGenerator","improvedConstructiveLevelGenerator","Neither","1","1","225574"
"2018/08/13 9:26:24 PM OEZ","frogs","randomLevelGenerator","geneticLevelGenerator","Second","0","3","225574"
"2018/08/13 9:26:38 PM OEZ","frogs","mctsLevelGenerator","geneticLevelGenerator","First","2","0","225574"
"2018/08/13 9:26:56 PM OEZ","frogs","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","2","0","225574"
"2018/08/13 9:27:15 PM OEZ","frogs","randomLevelGenerator","mctsLevelGenerator","Second","1","3","225574"
"2018/08/13 9:27:35 PM OEZ","frogs","improvedConstructiveLevelGenerator","mctsLevelGenerator","Equal","0","1","225574"
"2018/08/13 9:29:59 PM OEZ","sokoban","randomLevelGenerator","mctsLevelGenerator","Second","2","1","225574"
"2018/08/13 9:31:05 PM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","First","4","2","225574"
"2018/08/13 9:31:31 PM OEZ","sokoban","geneticLevelGenerator","randomLevelGenerator","Neither","2","2","225574"
"2018/08/13 9:31:53 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","Neither","4","4","225574"
"2018/08/13 9:32:03 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","4","4","225574"
"2018/08/13 9:32:16 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Equal","1","4","225574"
"2018/08/13 9:37:08 PM OEZ","zelda","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","0","4","804886"
"2018/08/13 9:38:03 PM OEZ","zelda","improvedConstructiveLevelGenerator","randomLevelGenerator","First","3","2","804886"
"2018/08/13 9:38:28 PM OEZ","zelda","improvedConstructiveLevelGenerator","mctsLevelGenerator","Equal","1","4","804886"
"2018/08/13 9:38:42 PM OEZ","zelda","mctsLevelGenerator","randomLevelGenerator","First","2","3","804886"
"2018/08/13 9:39:13 PM OEZ","zelda","geneticLevelGenerator","randomLevelGenerator","First","0","3","804886"
"2018/08/13 9:39:39 PM OEZ","zelda","mctsLevelGenerator","geneticLevelGenerator","First","0","4","804886"
"2018/08/13 10:03:57 PM OEZ","frogs","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","4","1","787238"
"2018/08/13 10:04:25 PM OEZ","frogs","randomLevelGenerator","mctsLevelGenerator","Second","4","1","787238"
"2018/08/13 10:05:03 PM OEZ","frogs","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","0","3","787238"
"2018/08/13 10:05:23 PM OEZ","frogs","improvedConstructiveLevelGenerator","randomLevelGenerator","First","4","1","787238"
"2018/08/13 10:06:47 PM OEZ","frogs","randomLevelGenerator","geneticLevelGenerator","Second","2","4","787238"
"2018/08/13 10:07:07 PM OEZ","frogs","geneticLevelGenerator","mctsLevelGenerator","Second","1","1","787238"
"2018/08/13 10:07:29 PM OEZ","frogs","improvedConstructiveLevelGenerator","randomLevelGenerator","First","4","3","787238"
"2018/08/13 10:07:57 PM OEZ","frogs","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","4","0","787238"
"2018/08/13 10:08:23 PM OEZ","frogs","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","3","1","787238"
"2018/08/13 10:08:42 PM OEZ","frogs","geneticLevelGenerator","mctsLevelGenerator","Second","4","2","787238"
"2018/08/13 10:08:52 PM OEZ","frogs","randomLevelGenerator","geneticLevelGenerator","First","4","2","787238"
"2018/08/13 10:09:11 PM OEZ","frogs","randomLevelGenerator","mctsLevelGenerator","Second","1","3","787238"
"2018/08/13 10:09:57 PM OEZ","zelda","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","1","3","787238"
"2018/08/13 10:10:16 PM OEZ","zelda","geneticLevelGenerator","randomLevelGenerator","Neither","2","4","787238"
"2018/08/13 10:10:32 PM OEZ","zelda","mctsLevelGenerator","randomLevelGenerator","First","0","2","787238"
"2018/08/13 10:10:53 PM OEZ","zelda","mctsLevelGenerator","geneticLevelGenerator","Second","3","0","787238"
"2018/08/13 10:11:12 PM OEZ","zelda","improvedConstructiveLevelGenerator","randomLevelGenerator","First","0","1","787238"
"2018/08/13 10:11:33 PM OEZ","zelda","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","3","3","787238"
"2018/08/13 10:12:31 PM OEZ","aliens","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","3","1","787238"
"2018/08/13 10:13:07 PM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Second","0","1","787238"
"2018/08/13 10:13:22 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","First","2","2","787238"
"2018/08/13 10:13:38 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","4","4","787238"
"2018/08/13 10:14:14 PM OEZ","aliens","geneticLevelGenerator","improvedConstructiveLevelGenerator","First","1","2","787238"
"2018/08/13 10:14:24 PM OEZ","aliens","mctsLevelGenerator","randomLevelGenerator","First","3","0","787238"
"2018/08/13 10:14:32 PM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Equal","3","1","787238"
"2018/08/13 10:14:41 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","1","0","787238"
"2018/08/13 10:15:00 PM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","4","0","787238"
"2018/08/13 10:15:10 PM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","2","3","787238"
"2018/08/13 10:15:26 PM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Neither","2","0","787238"
"2018/08/13 10:15:54 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","First","4","0","787238"
"2018/08/13 10:17:19 PM OEZ","sokoban","geneticLevelGenerator","randomLevelGenerator","Neither","1","1","787238"
"2018/08/13 10:17:45 PM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","Neither","2","4","787238"
"2018/08/13 10:17:59 PM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","Neither","2","1","787238"
"2018/08/13 10:18:16 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","1","3","787238"
"2018/08/13 10:18:41 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Neither","4","2","787238"
"2018/08/13 10:18:58 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","Neither","2","4","787238"
"2018/08/13 10:19:15 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","0","4","787238"
"2018/08/13 10:19:35 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Neither","4","4","787238"
"2018/08/13 10:19:56 PM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","Neither","3","0","787238"
"2018/08/13 10:20:15 PM OEZ","sokoban","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","3","0","787238"
"2018/08/13 10:20:35 PM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","Neither","4","0","787238"
"2018/08/13 10:20:44 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Second","4","2","787238"
"2018/08/13 10:21:05 PM OEZ","aliens","geneticLevelGenerator","randomLevelGenerator","First","3","4","787238"
"2018/08/13 10:21:21 PM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","0","4","787238"
"2018/08/13 10:21:31 PM OEZ","aliens","mctsLevelGenerator","randomLevelGenerator","Neither","4","1","787238"
"2018/08/13 10:21:50 PM OEZ","aliens","improvedConstructiveLevelGenerator","mctsLevelGenerator","Equal","4","0","787238"
"2018/08/13 10:22:02 PM OEZ","aliens","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","0","3","787238"
"2018/08/13 10:22:11 PM OEZ","aliens","mctsLevelGenerator","geneticLevelGenerator","Neither","4","2","787238"
"2018/08/13 10:22:56 PM OEZ","aliens","mctsLevelGenerator","geneticLevelGenerator","Neither","4","1","787238"
"2018/08/14 10:05:21 AM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Neither","1","2","711130"
"2018/08/14 10:05:35 AM OEZ","aliens","improvedConstructiveLevelGenerator","randomLevelGenerator","First","1","4","711130"
"2018/08/14 10:05:51 AM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Neither","2","0","711130"
"2018/08/14 10:06:02 AM OEZ","aliens","mctsLevelGenerator","randomLevelGenerator","First","2","0","711130"
"2018/08/14 10:06:40 AM OEZ","aliens","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","1","1","711130"
"2018/08/14 10:07:10 AM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","2","1","711130"
"2018/08/14 10:07:46 AM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","First","1","2","711130"
"2018/08/14 10:08:10 AM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","First","3","4","711130"
"2018/08/14 10:08:24 AM OEZ","sokoban","geneticLevelGenerator","randomLevelGenerator","First","2","0","711130"
"2018/08/14 10:08:37 AM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","1","2","711130"
"2018/08/14 10:08:47 AM OEZ","sokoban","geneticLevelGenerator","mctsLevelGenerator","First","3","4","711130"
"2018/08/14 10:09:04 AM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","4","0","711130"
"2018/08/14 10:58:30 AM OEZ","zelda","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","4","0","657836"
"2018/08/14 10:59:11 AM OEZ","zelda","improvedConstructiveLevelGenerator","randomLevelGenerator","First","3","3","657836"
"2018/08/14 10:59:41 AM OEZ","zelda","geneticLevelGenerator","mctsLevelGenerator","Second","4","2","657836"
"2018/08/14 11:00:05 AM OEZ","zelda","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","1","1","657836"
"2018/08/14 11:00:35 AM OEZ","zelda","geneticLevelGenerator","randomLevelGenerator","Equal","3","1","657836"
"2018/08/14 11:00:57 AM OEZ","zelda","randomLevelGenerator","mctsLevelGenerator","Second","2","2","657836"
"2018/08/14 11:05:21 AM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Neither","0","3","726616"
"2018/08/14 11:06:04 AM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","0","3","726616"
"2018/08/14 11:06:25 AM OEZ","aliens","improvedConstructiveLevelGenerator","randomLevelGenerator","First","4","2","726616"
"2018/08/14 11:06:46 AM OEZ","aliens","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","4","2","726616"
"2018/08/14 11:07:20 AM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Second","0","3","726616"
"2018/08/14 11:07:33 AM OEZ","aliens","randomLevelGenerator","geneticLevelGenerator","Neither","3","0","726616"
"2018/08/14 11:09:03 AM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","0","3","466610"
"2018/08/14 11:09:23 AM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","Second","2","2","466610"
"2018/08/14 11:09:46 AM OEZ","sokoban","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","4","0","466610"
"2018/08/14 11:10:04 AM OEZ","sokoban","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","1","3","466610"
"2018/08/14 11:10:17 AM OEZ","sokoban","geneticLevelGenerator","randomLevelGenerator","First","0","0","466610"
"2018/08/14 11:10:31 AM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","First","1","4","466610"
"2018/08/14 11:11:44 AM OEZ","frogs","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","2","3","713824"
"2018/08/14 11:12:11 AM OEZ","frogs","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","1","4","713824"
"2018/08/14 11:12:37 AM OEZ","frogs","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","2","0","713824"
"2018/08/14 11:12:59 AM OEZ","frogs","geneticLevelGenerator","mctsLevelGenerator","Second","0","3","713824"
"2018/08/14 11:13:27 AM OEZ","frogs","randomLevelGenerator","geneticLevelGenerator","Second","2","2","713824"
"2018/08/14 11:13:45 AM OEZ","frogs","randomLevelGenerator","mctsLevelGenerator","Second","2","4","713824"
"2018/08/14 2:54:39 PM OEZ","frogs","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","0","3","346885"
"2018/08/14 2:54:57 PM OEZ","frogs","mctsLevelGenerator","randomLevelGenerator","First","0","0","346885"
"2018/08/14 2:55:19 PM OEZ","frogs","improvedConstructiveLevelGenerator","randomLevelGenerator","First","4","0","346885"
"2018/08/14 2:55:36 PM OEZ","frogs","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","4","1","346885"
"2018/08/14 2:58:21 PM OEZ","frogs","geneticLevelGenerator","randomLevelGenerator","First","4","2","346885"
"2018/08/14 2:59:05 PM OEZ","frogs","mctsLevelGenerator","geneticLevelGenerator","First","0","4","346885"
"2018/08/14 3:00:12 PM OEZ","sokoban","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","1","2","346885"
"2018/08/14 3:00:31 PM OEZ","sokoban","geneticLevelGenerator","mctsLevelGenerator","Second","4","1","346885"
"2018/08/14 3:01:15 PM OEZ","sokoban","randomLevelGenerator","mctsLevelGenerator","Neither","3","3","346885"
"2018/08/14 3:01:26 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","First","0","3","346885"
"2018/08/14 3:01:35 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","First","2","3","346885"
"2018/08/14 3:01:45 PM OEZ","sokoban","improvedConstructiveLevelGenerator","geneticLevelGenerator","Second","1","1","346885"
"2018/08/14 3:02:23 PM OEZ","zelda","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","3","0","346885"
"2018/08/14 4:26:08 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Neither","1","0","856912"
"2018/08/14 4:26:42 PM OEZ","sokoban","mctsLevelGenerator","geneticLevelGenerator","Neither","2","4","856912"
"2018/08/14 4:27:20 PM OEZ","sokoban","improvedConstructiveLevelGenerator","mctsLevelGenerator","Second","2","3","856912"
"2018/08/14 4:27:35 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Second","2","3","856912"
"2018/08/14 4:27:52 PM OEZ","sokoban","randomLevelGenerator","improvedConstructiveLevelGenerator","Neither","2","4","856912"
"2018/08/14 4:28:03 PM OEZ","sokoban","randomLevelGenerator","mctsLevelGenerator","Second","4","2","856912"
"2018/08/14 4:28:57 PM OEZ","aliens","mctsLevelGenerator","improvedConstructiveLevelGenerator","Second","4","2","856912"
"2018/08/14 4:29:34 PM OEZ","aliens","geneticLevelGenerator","randomLevelGenerator","First","3","0","856912"
"2018/08/14 4:29:49 PM OEZ","aliens","geneticLevelGenerator","mctsLevelGenerator","Neither","2","0","856912"
"2018/08/14 4:29:59 PM OEZ","aliens","randomLevelGenerator","mctsLevelGenerator","Neither","4","3","856912"
"2018/08/14 4:30:23 PM OEZ","aliens","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","3","1","856912"
"2018/08/14 4:30:42 PM OEZ","aliens","improvedConstructiveLevelGenerator","randomLevelGenerator","First","4","1","856912"
"2018/08/14 4:31:44 PM OEZ","frogs","randomLevelGenerator","geneticLevelGenerator","Neither","4","3","856912"
"2018/08/14 4:32:09 PM OEZ","frogs","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","3","4","856912"
"2018/08/14 4:32:28 PM OEZ","frogs","mctsLevelGenerator","randomLevelGenerator","First","1","3","856912"
"2018/08/14 4:32:41 PM OEZ","frogs","randomLevelGenerator","improvedConstructiveLevelGenerator","Second","2","2","856912"
"2018/08/14 4:32:55 PM OEZ","frogs","geneticLevelGenerator","mctsLevelGenerator","First","4","1","856912"
"2018/08/14 4:33:07 PM OEZ","frogs","improvedConstructiveLevelGenerator","mctsLevelGenerator","Equal","2","0","856912"
"2018/08/14 4:33:26 PM OEZ","sokoban","randomLevelGenerator","geneticLevelGenerator","Second","2","1","856912"
"2018/08/14 4:36:19 PM OEZ","sokoban","geneticLevelGenerator","improvedConstructiveLevelGenerator","Second","2","1","856912"
"2018/08/14 4:36:37 PM OEZ","sokoban","mctsLevelGenerator","randomLevelGenerator","First","1","3","856912"
"2018/08/14 4:36:51 PM OEZ","sokoban","geneticLevelGenerator","mctsLevelGenerator","Second","0","0","856912"
"2018/08/14 4:37:01 PM OEZ","sokoban","improvedConstructiveLevelGenerator","randomLevelGenerator","First","2","3","856912"
"2018/08/14 4:37:14 PM OEZ","sokoban","mctsLevelGenerator","improvedConstructiveLevelGenerator","First","3","1","856912"
"2018/08/14 6:15:59 PM OEZ","frogs","geneticLevelGenerator","randomLevelGenerator","First","0","4","962341"
"2018/08/14 6:16:27 PM OEZ","frogs","improvedConstructiveLevelGenerator","randomLevelGenerator","First","3","0","962341"
"2018/08/14 6:16:59 PM OEZ","frogs","improvedConstructiveLevelGenerator","mctsLevelGenerator","First","3","2","962341"
"2018/08/14 6:17:27 PM OEZ","frogs","improvedConstructiveLevelGenerator","geneticLevelGenerator","First","4","3","962341"
